Category: All categories

Month,kentucky derby: (Worldwide)
2004-01,5
2004-02,7
2004-03,9
2004-04,48
2004-05,37
2004-06,5
2004-07,2
2004-08,3
2004-09,2
2004-10,2
2004-11,3
2004-12,3
2005-01,4
2005-02,6
2005-03,8
2005-04,21
2005-05,67
2005-06,3
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,3
2006-01,4
2006-02,5
2006-03,8
2006-04,20
2006-05,65
2006-06,3
2006-07,3
2006-08,2
2006-09,2
2006-10,2
2006-11,3
2006-12,2
2007-01,4
2007-02,5
2007-03,6
2007-04,19
2007-05,63
2007-06,3
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,5
2008-03,6
2008-04,23
2008-05,65
2008-06,4
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,2
2008-12,2
2009-01,3
2009-02,4
2009-03,6
2009-04,29
2009-05,61
2009-06,2
2009-07,1
2009-08,1
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,3
2010-02,4
2010-03,6
2010-04,35
2010-05,42
2010-06,2
2010-07,2
2010-08,2
2010-09,1
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,4
2011-03,5
2011-04,15
2011-05,73
2011-06,3
2011-07,3
2011-08,2
2011-09,1
2011-10,2
2011-11,2
2011-12,2
2012-01,3
2012-02,3
2012-03,5
2012-04,16
2012-05,75
2012-06,4
2012-07,2
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,1
2013-01,2
2013-02,3
2013-03,5
2013-04,18
2013-05,76
2013-06,3
2013-07,2
2013-08,2
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,3
2014-03,5
2014-04,21
2014-05,78
2014-06,5
2014-07,2
2014-08,1
2014-09,2
2014-10,1
2014-11,1
2014-12,1
2015-01,2
2015-02,3
2015-03,5
2015-04,28
2015-05,72
2015-06,5
2015-07,2
2015-08,2
2015-09,1
2015-10,1
2015-11,2
2015-12,1
2016-01,2
2016-02,3
2016-03,5
2016-04,15
2016-05,83
2016-06,3
2016-07,1
2016-08,1
2016-09,2
2016-10,1
2016-11,2
2016-12,2
2017-01,3
2017-02,3
2017-03,5
2017-04,15
2017-05,100
2017-06,2
2017-07,2
2017-08,1
2017-09,1
2017-10,1
2017-11,2
